ProductType,term,amount,Secured,coApplicant,CreditScore,Residency,CitizenOrNot,visaSubclass,visaTimeLeftInMonths,age,LoanPurpose,RepaymentFrequency,interest_rate
0,72,12855,0,1,276,0,1,12,10,51,5,1,22.9
0,60,9629,1,1,1064,2,1,65,22,68,3,0,22.49
1,60,5255,0,0,1181,0,0,39,25,32,1,1,16.0
0,36,7802,1,1,667,0,0,51,20,60,2,1,16.46
1,24,12447,0,0,254,1,0,29,34,30,2,2,18.06
1,60,13484,1,1,989,1,0,57,32,41,3,2,17.22
1,84,9851,0,0,299,0,1,90,32,39,5,2,18.77
0,60,8316,1,0,1069,1,1,95,19,31,3,1,21.79
0,24,5802,1,0,326,1,1,67,2,56,2,1,22.25
0,36,12287,1,0,1074,1,0,23,31,57,5,1,24.57
0,36,8098,0,0,439,2,0,99,16,45,6,2,24.74
0,48,7343,1,0,804,2,1,48,0,26,4,1,20.72
0,48,11454,0,0,791,1,0,22,17,59,4,0,24.03
0,12,5183,0,1,147,2,1,10,10,50,5,0,24.51
0,84,7388,0,0,469,1,1,0,35,55,3,2,23.51
1,72,10057,1,1,1110,0,0,61,1,36,4,0,23.75
1,48,11265,1,0,218,1,1,34,0,28,3,0,23.89
0,72,6165,0,0,240,0,0,64,22,47,6,1,21.8
0,48,11154,0,0,798,2,0,3,8,59,6,1,17.42
1,12,13282,0,0,247,0,0,19,25,27,6,2,16.02
0,24,5444,0,1,566,1,0,97,18,38,5,0,16.89
0,72,9825,0,1,223,2,0,83,19,63,6,1,15.57
0,60,14002,1,1,41,0,0,98,35,43,0,1,19.02
1,84,13173,1,0,647,2,0,33,8,60,4,1,18.37
1,12,8172,1,1,1035,1,0,21,31,67,5,1,24.23
1,12,10025,0,0,103,0,1,20,31,68,5,1,17.55
0,84,8284,1,0,1036,0,0,84,27,52,3,1,21.27
0,84,8319,0,0,733,0,0,62,29,19,1,0,18.46
1,12,7683,1,1,973,1,0,78,4,69,6,2,18.66
0,24,6660,1,1,872,2,1,6,1,49,1,1,19.51
0,72,13007,1,0,818,2,0,43,24,34,4,1,23.54
1,72,13071,1,0,821,2,1,71,31,18,1,0,21.8
0,72,10396,1,0,809,2,0,35,17,69,4,1,15.73
1,72,14993,0,1,305,0,0,26,15,47,2,2,18.26
0,36,9991,0,1,1079,2,0,92,9,46,2,0,21.96
1,24,6418,1,0,139,2,0,70,6,62,4,2,18.36
1,48,7609,0,0,152,1,1,89,5,63,0,2,21.15
1,24,10615,0,1,722,1,0,58,5,39,1,2,17.99
0,24,6362,1,1,371,0,1,96,31,55,2,2,19.22
0,48,14893,1,0,1193,2,0,40,23,26,6,0,20.13
0,24,7370,0,1,501,1,0,24,2,35,6,0,21.05
1,72,13872,0,1,1130,2,0,9,7,66,2,0,23.83
0,48,5992,0,1,1095,1,0,17,9,66,2,2,21.03
0,24,11729,0,0,1034,1,0,33,10,43,5,0,20.88
0,36,13243,1,1,543,1,0,25,8,26,1,1,21.18
0,72,6159,1,0,734,1,1,95,3,26,0,1,21.85
1,60,6308,0,0,1028,2,1,57,25,35,1,1,15.46
1,84,8770,1,0,811,1,0,57,27,45,4,1,18.62
1,24,9128,0,1,636,0,0,59,28,30,3,2,15.73
0,36,13354,1,1,110,1,1,48,28,32,1,1,24.25
1,24,6884,0,0,470,0,0,49,19,70,6,0,18.9
0,72,6077,1,1,1098,1,1,24,8,21,4,2,22.81
0,48,9283,0,0,1058,1,1,45,15,26,6,2,16.23
0,60,7206,1,0,956,2,0,2,20,28,4,0,17.64
1,48,9907,1,0,578,0,0,5,12,38,3,2,15.78
0,72,9013,0,1,1048,0,0,10,22,55,2,2,24.06
1,24,7789,1,0,635,1,0,27,21,22,3,2,19.96
1,72,13664,0,0,364,1,0,97,27,48,2,2,23.57
0,84,12894,1,0,59,2,0,70,22,33,3,2,24.36
1,48,11182,1,0,638,1,0,61,30,21,0,1,17.7
0,24,14197,1,0,256,2,0,18,3,43,2,1,19.54
0,36,12430,1,0,744,2,1,72,19,26,1,1,15.44
1,12,13487,0,0,194,1,1,94,0,40,6,2,17.54
1,24,8632,1,1,979,1,0,86,26,34,4,1,24.39
1,72,9030,0,1,225,1,0,85,24,59,0,2,24.04
1,84,11915,0,0,618,0,0,69,24,57,6,2,23.16
0,84,12282,0,1,229,1,0,46,33,30,3,0,18.11
0,36,10060,1,0,485,0,1,82,9,28,2,1,19.71
1,24,7521,0,1,607,2,0,32,35,41,2,2,18.71
1,60,5652,0,1,43,2,0,75,0,61,3,1,19.71
1,12,10824,1,0,498,1,0,4,12,27,0,2,22.49
0,84,10071,0,1,954,0,0,5,14,43,6,1,17.67
1,60,7869,1,0,13,2,1,29,29,31,0,2,19.23
0,48,7628,1,1,196,0,1,4,17,58,6,2,17.34
0,72,14339,0,0,58,2,1,0,5,39,4,2,19.82
0,24,7106,0,1,1160,2,0,62,17,62,4,2,20.12
1,24,5927,0,1,727,1,1,79,6,52,0,2,21.28
0,24,7680,1,1,501,2,1,18,12,54,5,0,21.05
0,36,10469,1,1,346,0,1,9,26,41,4,2,15.2
0,72,7136,1,1,623,2,0,68,17,37,6,0,16.87
0,48,13457,0,1,994,0,0,16,7,43,2,0,23.91
1,48,5843,0,1,342,2,1,80,15,49,2,1,21.65
1,84,13726,1,1,1103,0,1,4,17,30,5,1,22.89
1,60,11707,1,0,194,2,0,32,6,44,5,1,16.09
1,36,9347,0,1,299,0,1,11,7,68,4,1,16.12
0,36,5565,0,0,255,0,0,68,13,36,5,2,23.83
1,84,7353,0,0,905,2,0,6,11,30,4,1,18.89
1,24,7636,0,1,442,1,0,59,34,58,1,1,21.11
0,84,12007,1,0,657,2,1,28,20,40,5,1,21.28
1,12,8340,0,0,1008,1,0,35,26,38,4,2,19.37
1,84,14695,0,1,626,0,0,46,23,70,1,1,18.26
0,84,8787,1,1,250,0,1,85,21,53,5,2,17.86
1,24,8201,0,1,839,1,0,66,15,33,1,2,23.7
1,36,13149,0,0,329,2,1,40,36,66,3,1,15.53
0,12,6390,1,0,561,2,1,42,7,37,4,2,16.95
1,60,13678,0,0,26,0,0,46,26,39,6,1,15.63
0,72,5930,0,1,654,0,1,86,23,32,5,1,20.2
1,36,13503,1,1,46,1,0,97,24,22,0,1,24.04
0,12,9065,1,1,694,1,1,23,2,33,3,0,22.64
0,36,10272,1,0,721,1,0,96,9,46,4,2,17.37
0,84,6366,1,0,514,2,1,99,27,21,1,0,23.32
1,12,7817,0,0,736,1,0,20,20,43,4,0,24.45
0,12,11843,0,0,712,0,1,24,1,48,1,1,16.19
0,48,6009,0,0,1128,2,0,53,14,46,0,0,17.46
1,84,6896,1,0,376,0,1,92,30,32,5,1,22.9
0,12,10290,0,0,295,1,1,32,28,69,0,0,19.21
0,12,11622,1,0,655,2,1,72,9,27,6,2,17.91
1,36,9774,0,1,958,0,1,91,0,18,0,1,22.31
1,12,10015,1,0,525,2,1,91,24,27,2,1,16.65
1,60,8171,1,1,48,1,0,81,16,49,0,2,19.28
1,84,11761,0,1,194,0,0,77,13,23,2,2,19.97
1,48,6550,1,1,57,0,1,28,21,33,2,0,20.81
1,12,10898,1,0,867,1,1,6,10,63,4,2,18.55
0,48,12941,1,0,367,2,0,27,7,38,5,0,17.27
0,60,5603,1,0,796,0,0,93,14,34,2,2,23.08
1,48,6654,1,1,366,0,0,91,36,49,5,1,22.43
0,48,12626,1,1,636,2,0,27,4,27,4,0,21.79
0,72,10708,0,1,114,0,0,12,3,40,6,2,24.34
0,60,11851,0,0,711,1,1,92,0,69,4,2,17.4
1,48,11155,1,0,606,0,1,9,27,65,5,2,23.45
1,24,5925,0,1,8,2,0,7,28,59,2,2,18.64
1,60,9537,1,1,1104,2,1,63,29,58,3,2,23.55
0,48,9700,0,1,598,0,1,7,34,23,5,2,24.34
1,60,11704,0,0,987,2,1,15,1,32,2,0,24.16
1,72,13997,0,1,526,2,0,18,35,62,1,2,22.41
1,48,5052,1,1,1043,1,1,83,18,50,0,2,18.98
0,72,7251,1,0,1147,0,1,31,17,44,1,1,17.54
0,72,9970,1,0,389,2,0,99,28,27,6,2,22.39
1,72,12482,1,0,175,2,1,6,10,48,5,2,21.43
0,60,7268,0,0,1200,2,0,67,20,37,2,2,16.64
0,84,13529,0,1,193,1,1,73,22,63,0,1,18.91
1,48,11422,1,1,597,1,0,14,10,67,0,0,24.14
1,60,11174,0,0,902,2,0,16,11,59,1,2,20.7
1,48,5549,0,1,576,0,0,39,13,33,0,0,19.21
1,12,6670,1,0,934,1,1,67,16,49,2,0,20.87
1,36,12254,0,0,778,1,1,92,18,25,5,0,16.99
0,36,12477,0,0,782,0,0,92,11,33,1,1,20.75
0,48,13995,1,0,341,1,1,83,11,32,2,1,24.39
1,60,13826,1,0,759,2,1,22,20,51,0,1,21.38
0,60,5721,0,1,1117,2,1,20,4,43,2,2,22.64
0,36,12344,1,0,1182,0,1,67,1,27,0,2,24.76
1,36,5568,1,0,462,2,1,77,2,51,5,2,19.73
0,24,13076,1,1,190,0,1,99,14,63,6,1,15.59
0,24,10175,0,1,988,2,1,10,33,67,5,1,20.82
0,24,8368,0,0,183,2,1,88,26,19,4,0,15.55
0,48,13789,1,1,31,2,0,13,28,45,1,1,15.26
0,12,5583,0,1,1165,0,0,80,28,30,2,2,17.36
1,36,7677,1,1,210,2,0,96,26,25,1,0,24.69
0,12,10443,1,0,607,1,1,73,10,33,1,2,19.47
0,84,6653,0,1,1061,2,0,63,36,43,3,2,18.29
1,48,8101,0,1,381,0,0,90,31,48,0,0,18.76
1,12,12825,1,0,808,0,0,8,30,47,6,1,24.98
0,72,7755,0,0,992,0,0,68,28,64,0,2,16.28
0,84,8514,1,0,1189,2,0,88,25,34,2,0,23.69
0,60,14182,1,1,1087,1,0,18,32,53,3,2,21.23
0,72,5249,1,0,943,2,1,25,24,43,0,0,23.63
1,60,11672,0,0,876,2,1,31,11,46,4,0,21.8
1,72,7953,0,0,663,2,1,4,32,62,0,1,24.63
1,60,5492,1,0,66,1,1,52,21,62,0,0,20.73
0,36,9671,0,0,38,0,1,95,26,35,3,1,19.18
1,84,9485,0,0,1040,0,0,25,28,62,1,2,20.42
1,36,8511,1,0,1039,2,0,19,8,48,3,2,16.23
1,84,8506,1,1,1029,0,1,6,7,24,1,1,15.47
1,24,11271,1,1,354,2,0,31,17,49,3,0,20.54
0,84,12637,0,1,275,2,1,40,33,67,3,1,22.5
0,24,14634,1,0,839,2,1,64,9,19,5,2,16.56
0,60,8890,0,1,937,0,0,6,9,48,3,2,15.31
1,12,6933,1,0,898,1,0,3,2,20,6,0,21.51
0,48,8244,1,0,905,1,0,46,30,39,6,0,19.74
1,60,5541,1,0,314,0,0,28,22,33,3,2,24.27
1,24,8221,1,0,973,0,1,69,12,50,3,2,17.22
0,12,6864,1,0,695,0,0,44,4,30,0,1,16.79
1,12,10295,1,0,306,2,1,8,29,58,6,1,24.92
1,48,5534,0,0,296,2,1,78,32,32,4,2,24.13
0,36,13643,1,0,958,1,1,13,13,45,0,1,16.01
1,84,13218,0,0,1113,1,1,51,32,47,4,1,16.5
1,84,7131,1,0,1046,2,0,60,16,34,0,1,21.66
0,48,10545,0,1,1161,0,0,93,8,47,3,1,15.86
1,60,6938,1,1,781,2,0,74,32,44,0,1,20.14
1,72,12236,1,1,1169,1,1,36,32,55,4,0,21.78
1,84,13728,1,0,915,0,0,22,22,40,2,1,16.02
0,48,5159,0,1,642,2,0,4,26,63,2,1,22.89
0,60,11623,0,1,367,2,0,84,3,34,0,1,19.7
0,24,11417,0,0,872,1,1,7,34,33,6,0,17.59
0,84,8757,1,1,570,1,1,51,24,47,5,1,23.83
0,12,14930,1,1,1005,1,0,1,8,47,4,0,24.24
0,72,9348,0,0,652,1,1,11,4,35,1,0,21.9
0,12,10631,0,1,867,0,0,51,33,61,5,0,21.41
0,60,9362,0,1,900,0,1,35,16,52,1,2,19.13
1,36,13020,0,1,947,2,1,34,14,28,4,0,20.97
1,48,8263,1,0,966,0,1,28,10,27,4,1,23.25
0,48,7441,1,1,580,1,0,3,16,55,4,0,19.44
0,48,9672,0,0,1040,1,0,99,17,46,4,0,22.87
1,24,12710,0,1,1083,0,0,1,18,67,5,1,17.35
1,84,5333,1,1,662,0,0,50,4,44,5,1,17.16
1,48,12839,0,1,741,0,1,92,30,18,2,0,15.61
0,60,10149,0,1,399,2,1,47,10,56,0,2,19.86
1,60,14426,1,0,383,2,0,28,16,69,5,1,17.75
1,72,12286,0,1,365,0,0,11,35,61,3,0,16.71
0,84,12545,1,1,686,1,0,0,24,66,0,2,21.64
1,24,9765,1,1,839,1,0,74,29,52,5,2,18.48
1,36,6976,0,0,369,0,1,57,10,68,6,2,16.28
1,48,13145,0,0,538,0,0,62,22,69,2,1,21.32
0,24,5657,0,1,523,1,0,68,21,41,3,0,23.99
0,24,11863,0,0,1011,0,1,16,16,23,3,1,22.88
1,72,14607,0,1,275,1,0,26,2,50,2,2,22.32
0,72,12333,0,0,874,1,1,22,31,27,1,1,22.2
0,48,14399,1,1,927,0,1,30,8,51,1,0,15.75
1,48,13536,0,0,298,1,1,54,13,68,4,1,22.22
0,48,7637,0,0,756,2,0,5,18,21,2,0,23.33
1,24,6954,1,1,1186,0,0,50,12,48,2,2,21.35
0,24,8530,0,0,442,2,1,49,21,68,1,1,18.93
0,36,5554,0,0,603,2,0,54,34,37,5,1,15.23
0,60,7230,1,1,946,2,1,37,14,51,0,0,22.63
0,12,7941,0,1,38,0,1,13,28,21,3,2,22.44
0,36,6743,0,1,270,0,0,86,2,63,3,2,15.44
1,24,8241,1,0,171,0,0,25,20,20,6,2,23.37
1,24,9871,0,1,967,2,0,90,24,46,2,2,22.93
1,60,13552,0,1,520,0,1,78,20,24,0,2,23.19
0,12,5192,0,1,664,2,0,69,23,40,6,1,21.75
1,24,14837,1,1,1092,2,1,2,21,60,5,1,23.73
0,12,6807,0,1,308,0,0,68,20,32,6,2,15.83
0,36,9425,1,0,1199,0,1,41,31,55,6,2,22.16
1,60,11018,1,1,226,2,1,72,25,25,6,1,15.01
1,12,11321,1,0,761,2,1,85,24,54,2,0,21.7
0,72,6064,1,0,26,1,1,64,35,53,0,1,15.68
0,24,11646,1,1,741,2,0,37,2,23,6,0,20.0
0,36,11130,0,1,1004,1,1,0,32,47,4,0,24.06
1,84,9133,0,0,686,0,1,49,28,41,3,1,22.91
1,72,12499,0,0,12,0,1,71,10,68,3,1,22.13
1,36,13570,0,0,7,0,0,97,19,47,4,1,16.2
