ProductType,term,amount,Secured,coApplicant,CreditScore,Residency,CitizenOrNot,visaSubclass,visaTimeLeftInMonths,age,LoanPurpose,RepaymentFrequency,interest_rate
0,72,13110,1,1,605,0,1,34,33,21,3,0,14.78
0,72,13127,1,1,445,1,1,55,1,29,1,2,14.95
1,48,11793,0,1,375,2,0,47,17,63,6,1,17.11
0,60,9920,1,1,356,0,0,58,21,36,6,2,21.3
0,12,11321,1,0,333,0,1,99,4,45,1,0,19.94
0,36,9008,1,1,516,1,1,73,26,60,1,2,20.76
1,60,14321,1,1,612,0,0,76,35,22,5,1,12.48
0,12,8312,0,0,442,2,0,80,33,45,2,2,22.35
0,24,8757,0,1,354,0,1,18,31,48,2,1,16.96
0,72,11303,1,0,479,0,1,7,20,68,2,1,20.33
1,48,7561,0,1,440,0,1,28,25,63,2,0,15.13
0,72,14945,1,1,693,2,0,32,21,25,3,0,12.89
0,12,5281,1,1,314,2,1,0,0,44,5,0,21.89
0,48,12834,1,1,408,1,0,39,8,26,4,1,22.58
0,60,5210,0,1,709,2,0,5,20,24,0,2,12.9
1,24,9502,0,1,502,2,0,17,3,20,4,1,20.51
1,84,5591,0,0,492,1,0,44,27,50,3,1,16.98
0,12,10301,1,1,698,0,1,40,14,47,2,2,19.65
0,36,10678,0,1,705,1,1,50,5,32,3,0,14.26
0,12,9781,0,1,784,0,0,90,22,50,1,0,18.22
0,84,14946,1,0,581,2,0,13,19,42,0,2,15.67
0,48,8198,1,1,620,0,0,100,30,20,6,0,12.55
1,12,10656,0,1,786,0,0,89,6,18,4,2,15.37
0,84,8888,1,1,618,0,1,41,2,34,1,0,13.58
1,84,14681,0,0,743,1,0,77,6,62,5,0,16.05
1,24,11020,1,0,561,1,1,81,5,38,2,2,16.7
1,72,7790,1,1,696,2,1,35,30,52,3,1,19.93
1,12,9596,0,0,693,0,0,44,18,30,0,0,20.93
1,48,7175,1,1,667,2,1,37,1,63,1,2,21.17
0,48,8849,1,1,700,2,0,59,30,48,5,2,18.54
0,72,5134,0,1,676,2,1,23,11,53,2,0,14.92
1,84,9728,0,0,319,0,1,0,3,38,1,0,17.56
0,36,10117,1,1,574,1,1,93,12,29,1,1,13.83
0,60,6866,1,0,598,0,1,79,8,39,4,0,14.2
1,72,10323,0,0,838,2,1,48,15,63,3,0,20.68
0,72,5565,1,0,397,2,0,36,7,62,5,2,18.77
0,72,8508,0,0,473,2,1,88,12,47,0,1,21.88
1,12,11373,0,1,765,1,1,72,12,56,4,0,12.29
0,84,10436,0,0,439,2,0,55,35,65,0,0,14.83
1,84,14871,1,0,666,0,0,68,35,42,0,2,19.93
0,24,10133,0,1,830,0,0,59,22,52,4,0,17.64
1,60,12720,1,1,782,0,0,74,11,22,1,0,19.27
1,60,6716,1,1,409,2,1,40,28,19,5,2,13.79
0,72,13547,0,1,422,1,0,38,0,61,1,2,21.89
0,84,5027,1,0,467,2,1,96,5,57,6,2,20.38
1,12,8563,1,1,452,1,0,45,24,21,2,2,14.69
0,60,7344,1,1,338,0,0,33,26,23,6,2,16.26
1,60,9515,1,0,415,2,1,34,7,58,1,1,22.11
1,36,7654,0,1,368,1,1,61,7,53,2,0,14.11
0,24,5973,0,0,537,1,1,3,22,70,0,0,13.78
0,84,13284,1,0,538,1,0,98,36,42,0,0,17.45
0,36,9794,1,1,731,0,1,4,29,25,2,1,11.52
0,72,11797,1,1,715,2,1,42,35,25,5,2,18.37
0,12,8808,1,1,563,1,0,68,5,60,3,2,14.8
1,72,13109,1,0,548,2,1,23,31,36,4,1,13.7
0,72,12257,1,1,503,1,0,0,30,35,1,1,16.91
0,48,11727,0,1,588,0,0,54,11,21,2,2,12.25
0,12,5093,1,0,574,2,1,77,28,35,5,2,20.03
1,48,13083,0,0,512,2,1,95,20,49,2,0,22.26
1,72,12948,0,0,326,0,1,11,13,55,6,1,14.96
1,12,9156,1,1,727,2,1,4,1,22,0,2,13.19
0,72,13203,0,0,539,0,1,20,28,45,0,1,19.93
0,84,12116,0,1,369,0,0,45,4,64,0,0,18.99
1,24,5042,1,1,371,2,1,61,9,58,6,2,15.31
0,60,6397,0,1,741,0,0,69,5,39,1,0,12.6
1,48,8227,0,0,747,2,0,31,14,67,6,0,15.72
1,48,13590,0,1,710,2,1,17,17,26,3,1,17.1
0,84,6032,1,0,317,2,1,70,27,61,6,2,18.53
0,72,13589,0,1,360,2,0,28,29,26,3,2,19.1
1,60,8988,1,1,576,1,1,93,20,65,3,1,20.12
1,84,11085,1,1,371,0,1,74,0,57,1,0,18.8
0,72,11844,0,1,621,2,0,88,8,70,0,1,17.78
1,48,10486,1,0,618,0,0,64,12,41,4,0,19.3
1,48,12635,1,1,773,1,0,32,20,29,0,0,18.41
0,72,7711,0,0,364,1,1,55,21,37,5,1,21.13
0,84,6773,0,1,636,1,0,42,0,32,2,1,16.13
1,72,7261,1,1,772,1,1,42,32,48,4,2,17.53
1,36,11139,0,0,475,1,1,85,34,61,0,1,20.57
1,72,14595,1,0,650,0,0,62,15,54,5,2,12.44
0,36,11967,0,0,607,2,0,21,16,45,6,2,16.9
1,72,14925,1,0,307,1,1,99,30,55,4,0,15.98
1,12,11842,0,0,609,1,0,92,35,66,4,1,18.74
0,36,8090,1,1,637,0,1,100,1,32,6,2,13.1
1,84,11641,0,1,429,0,1,2,6,38,0,0,15.54
1,60,10465,0,0,611,0,1,29,4,37,3,0,12.72
1,12,11286,1,1,552,1,0,0,19,49,3,0,15.19
1,72,5283,1,1,569,2,0,86,36,48,0,0,18.45
1,12,9901,1,1,519,2,0,96,6,67,6,0,12.89
0,36,7916,0,1,323,1,1,48,36,53,3,2,14.64
0,60,5337,0,1,502,2,1,95,8,18,5,0,18.76
1,60,10201,0,1,626,2,1,64,25,45,0,1,16.09
0,84,11023,1,1,566,1,0,44,22,23,4,1,21.26
0,24,10049,1,0,463,1,0,2,17,45,4,2,13.52
1,36,10293,1,0,358,2,0,36,13,40,2,2,15.76
0,84,5527,0,0,803,1,0,14,13,46,0,1,19.02
1,12,8207,0,1,707,1,1,83,21,24,3,1,20.97
1,84,14800,1,0,361,2,0,52,30,53,1,0,21.55
1,12,11190,0,1,321,2,1,71,23,35,5,0,13.91
1,24,11435,1,0,717,1,1,97,29,59,4,0,16.11
1,12,5750,1,1,664,2,0,10,8,31,0,1,16.37
1,84,13212,0,1,436,2,0,34,5,25,0,2,19.47
1,84,6774,0,0,680,2,1,50,6,42,4,0,14.21
1,48,10064,1,1,573,0,0,63,28,39,2,1,14.32
0,48,13312,1,1,677,0,1,34,33,30,0,1,19.14
0,60,14599,1,0,387,1,1,74,6,44,2,1,20.17
0,24,9118,0,1,589,1,1,15,32,67,2,0,21.07
0,84,13056,0,0,473,0,0,76,17,42,5,1,16.69
0,48,10696,1,1,380,0,1,67,6,35,5,0,21.05
0,36,5664,1,1,411,1,1,72,12,59,0,0,15.65
1,24,10003,0,1,734,2,1,65,6,25,3,1,11.59
1,84,12203,0,1,565,1,0,85,21,49,6,2,18.14
0,72,11882,0,0,467,0,0,64,34,31,4,1,20.45
1,12,11443,0,1,506,2,1,46,12,30,5,0,22.12
1,72,13680,1,0,669,0,1,65,29,51,6,0,12.52
1,24,7204,0,1,716,0,1,44,14,18,1,1,15.84
0,84,6395,1,1,606,2,0,61,29,36,2,0,18.91
0,36,11491,1,1,727,1,1,35,10,47,4,0,18.62
1,48,13927,1,0,748,0,1,16,6,57,2,0,19.07
1,24,5348,1,1,645,2,1,22,32,44,1,2,15.76
0,36,11286,1,0,387,1,1,22,10,63,1,1,22.07
0,60,8603,0,0,558,2,0,9,25,57,4,0,21.61
1,60,12466,1,1,398,0,1,5,28,56,3,1,19.32
1,60,13705,0,1,597,0,0,20,5,37,6,1,16.8
0,84,14207,0,0,807,1,0,43,12,34,6,2,16.09
0,72,9713,1,1,523,2,0,62,13,21,5,1,18.15
1,84,12653,0,1,476,2,1,4,25,23,1,0,13.5
1,24,5801,0,0,760,2,1,36,35,51,2,1,12.74
0,60,9640,1,0,632,1,0,38,20,40,4,0,16.93
1,48,13494,0,0,332,2,0,40,25,42,2,2,19.34
1,60,14738,0,0,414,0,0,52,22,31,4,1,12.95
0,48,7379,0,1,778,1,1,83,10,22,4,0,18.23
1,24,11203,0,1,692,1,0,86,16,27,2,2,13.38
0,72,13042,0,1,439,0,1,17,21,21,1,0,21.34
0,72,12615,1,1,819,2,1,26,20,60,3,1,11.83
0,12,6375,0,1,734,1,1,49,8,32,2,2,15.97
0,84,14462,1,1,743,1,0,68,6,33,1,1,17.05
0,60,14808,1,0,712,2,1,43,13,52,3,2,14.22
1,36,5583,0,0,624,0,0,36,12,49,3,0,12.07
0,48,12223,1,1,560,2,0,36,32,36,2,2,21.2
0,72,13746,1,0,758,1,0,75,34,30,6,0,18.03
1,24,9736,0,0,733,0,0,26,36,51,4,0,17.3
0,60,14684,1,0,661,0,1,29,19,45,6,0,17.82
1,48,11097,1,0,348,2,0,6,0,37,3,0,21.71
0,48,12392,0,0,664,1,1,42,14,50,2,1,16.17
0,36,9096,1,0,477,2,0,92,36,63,2,2,16.82
1,36,11740,0,1,443,0,1,66,3,64,0,1,20.34
1,84,11274,1,1,426,0,1,6,24,24,4,1,14.05
0,84,12670,0,0,622,2,1,34,13,50,6,0,18.13
0,60,7917,0,1,831,2,0,99,31,31,3,2,14.15
1,84,13589,0,1,751,1,1,17,30,25,4,0,14.47
0,84,14909,1,1,464,1,0,63,35,20,5,2,21.38
1,24,6751,0,1,681,2,1,89,17,38,0,2,14.79
0,84,12115,1,1,608,0,1,48,2,54,0,1,17.44
0,48,10622,0,0,607,1,1,88,15,38,5,1,21.42
1,84,9307,1,1,318,2,0,40,23,25,6,0,17.81
1,84,8216,1,0,533,2,1,91,22,70,3,2,12.71
1,84,6128,0,1,349,1,0,73,13,41,0,1,13.44
0,84,5219,0,1,343,2,1,86,4,54,0,1,20.82
0,24,10031,1,0,702,1,0,20,4,30,5,1,21.42
0,72,8498,0,1,701,2,1,15,19,19,3,1,18.41
0,48,10804,1,1,611,0,1,85,17,46,4,1,21.66
1,36,6108,0,0,641,0,1,57,31,33,6,1,18.19
0,84,13017,1,1,431,0,0,98,26,24,0,0,22.16
0,12,5471,1,0,580,0,0,13,10,32,0,0,21.37
0,60,12043,0,1,405,1,1,60,11,27,3,1,20.91
1,72,5385,0,1,846,0,1,1,21,64,3,2,15.77
0,60,14427,1,0,363,0,0,5,9,61,1,0,19.46
0,12,9087,1,0,709,2,0,90,10,64,4,0,15.23
1,72,8577,1,0,455,0,0,59,17,37,3,0,17.4
0,12,9861,0,0,312,0,0,17,19,65,3,0,16.64
1,72,5421,1,0,595,2,0,45,26,55,3,2,19.86
0,48,9415,1,1,345,1,1,37,10,28,1,1,19.64
0,72,11027,1,1,816,0,1,20,18,54,0,0,11.57
0,84,7714,1,1,654,0,1,0,23,28,5,2,18.48
1,60,13514,1,0,722,2,1,89,36,30,3,0,12.83
0,36,6945,0,0,544,2,0,76,3,53,5,1,15.82
0,60,14224,1,1,454,1,1,42,8,61,2,0,21.08
0,36,8832,1,1,848,2,1,67,1,24,5,2,15.54
1,84,13761,0,1,622,2,0,74,1,56,2,2,21.89
0,72,11034,0,0,306,1,1,59,3,52,5,2,20.28
1,48,14674,1,0,449,2,1,43,30,40,2,2,17.69
1,60,11791,0,1,386,2,0,27,36,53,5,1,22.95
0,48,7081,0,1,520,0,1,76,14,22,3,0,14.89
0,12,8017,0,1,453,1,1,61,8,63,6,0,20.01
1,36,10235,0,0,688,2,0,35,7,62,3,2,13.19
0,48,14670,0,1,626,0,1,32,10,26,0,1,12.44
1,60,10624,1,1,455,2,1,54,27,69,6,0,19.64
1,72,7991,0,0,463,1,1,18,18,46,6,2,20.27
1,60,14996,1,1,516,2,0,76,8,53,2,0,21.17
0,48,12509,1,0,617,1,1,50,32,53,0,2,14.17
1,60,11136,0,1,479,0,0,100,2,35,0,1,15.24
1,36,7740,1,0,384,0,0,37,11,50,2,0,14.61
1,60,11318,1,1,559,2,1,92,7,51,3,1,16.83
0,12,5392,1,1,590,0,0,70,3,20,4,0,18.7
1,84,14736,1,1,594,0,0,34,0,66,3,2,17.19
1,84,13540,0,0,357,2,0,100,29,64,3,2,23.14
1,72,12878,0,0,716,0,1,68,16,32,0,0,17.4
0,12,9683,1,0,677,0,0,31,16,46,1,2,12.63
0,12,7981,0,1,742,0,1,77,35,20,4,1,17.11
0,72,10347,1,1,670,2,0,98,17,53,4,0,19.15
1,60,10070,1,1,441,0,1,93,20,56,4,2,22.64
0,60,12719,0,1,830,0,1,22,1,23,3,1,17.72
1,72,12609,0,1,392,1,0,92,24,67,0,1,21.4
0,24,6167,0,0,729,1,0,23,34,47,3,0,12.43
0,72,11081,0,0,782,1,0,34,34,48,6,1,13.3
0,60,11781,1,0,825,0,0,13,35,47,2,0,13.06
1,48,12361,1,1,650,2,0,56,35,21,4,2,19.99
0,36,8132,1,1,469,2,0,36,35,46,2,0,13.44
1,24,10165,0,0,825,0,0,72,13,58,6,0,16.37
1,48,9396,0,0,460,1,0,16,6,46,6,1,14.94
1,60,13390,0,1,548,1,0,12,7,27,5,0,13.72
0,24,11433,1,0,424,2,0,3,5,59,1,0,22.16
0,84,14308,1,1,715,1,1,97,22,63,1,1,20.4
0,36,9809,1,1,778,1,1,77,3,48,3,0,16.43
0,36,7506,0,1,396,2,1,27,35,49,2,1,22.32
0,84,5075,0,0,376,1,1,11,8,65,6,2,18.14
0,84,12868,0,0,627,2,1,30,11,53,5,0,16.31
0,24,9529,1,1,396,0,0,46,8,63,5,0,19.24
1,60,13960,1,0,814,1,1,41,12,62,4,0,13.45
1,72,13939,1,0,431,2,0,5,21,43,6,2,21.75
0,48,6945,0,1,613,1,0,99,36,54,0,0,16.6
0,84,13366,0,1,422,1,0,32,22,63,6,2,22.67
0,72,13187,0,1,471,2,0,4,21,25,1,1,19.36
0,84,12028,0,1,365,1,1,3,15,22,4,1,14.94
1,24,6476,1,1,647,1,0,59,34,21,3,0,18.47
0,72,14461,1,1,699,0,0,35,27,51,3,1,18.74
0,84,9842,0,0,329,1,1,31,11,31,4,2,21.15
0,36,5070,1,1,593,0,1,2,34,43,1,2,19.9
0,36,11912,0,0,343,1,0,58,13,67,5,1,13.93
0,72,10790,0,0,382,0,0,67,15,51,0,1,15.07
1,12,5095,0,0,427,0,0,26,30,44,5,0,13.85
1,36,11429,1,1,757,0,1,16,17,21,6,0,19.29
0,84,9332,1,1,624,2,0,21,13,35,6,0,12.27
1,84,10809,0,0,392,1,1,16,35,61,2,0,19.11
1,84,14373,1,0,702,1,1,20,26,64,0,1,15.48
1,60,9036,1,1,704,2,0,18,13,29,5,2,11.77
1,48,11808,1,0,621,0,1,16,8,61,3,1,21.1
0,24,11319,0,1,383,0,1,13,21,59,6,0,13.68
1,24,5984,1,0,376,1,0,99,22,55,4,2,16.28
1,60,13172,0,1,836,2,0,50,30,55,6,0,19.85
0,84,7142,1,1,352,2,0,49,4,67,4,0,18.38
0,60,8207,1,0,577,0,0,24,13,66,3,1,16.39
1,48,13563,0,0,815,2,0,49,24,44,2,1,20.13
0,36,9363,0,1,344,1,1,37,27,22,0,2,18.79
